"223","利君股份","002651","4","四川","6/1/2012","3/12/2019","0"
"224","鞍重股份","002667","4","辽宁","29/3/2012","3/12/2019","0"
"225","长生生物","002680","4",,"3/12/2019","3/12/2019","0"
"226","华东重机","002685","4","江苏","12/6/2012","3/12/2019","0"
"227","亿利达","002686","4","浙江","3/7/2012","3/12/2019","0"
"228","美亚光电","002690","4","安徽","31/7/2012","3/12/2019","0"
"229","冀凯股份","002691","4","河北","31/7/2012","3/12/2019","0"
"230","博实股份","002698","4","黑龙江","11/9/2012","3/12/2019","0"
"231","埃斯顿","002747","4","江苏","20/3/2015","3/12/2019","0"
"232","宝德股份","300023","4","陕西","30/10/2009","3/12/2019","0"
"233","机器人","300024","4","辽宁","30/10/2009","3/12/2019","0"
"234","中科电气","300035","4","湖南","25/12/2009","3/12/2019","0"
"235","三维丝","300056","4","福建","26/2/2010","3/12/2019","0"
"236","盛运环保","300090","4","安徽","25/6/2010","3/12/2019","0"
"237","金通灵","300091","4","江苏","25/6/2010","3/12/2019","0"
"238","科新机电","300092","4","四川","8/7/2010","3/12/2019","0"
"239","华伍股份","300095","4","江西","28/7/2010","3/12/2019","0"
"240","达刚路机","300103","4",,"3/12/2019","3/12/2019","0"
"241","坚瑞沃能","300116","4","陕西","2/9/2010","3/12/2019","0"
"242","锐奇股份","300126","4","上海","13/10/2010","3/12/2019","0"
"243","中金环境","300145","4","浙江","9/12/2010","3/12/2019","0"
"244","昌红科技","300151","4","深圳","22/12/2010","3/12/2019","0"
"245","科融环境","300152","4","河北","29/12/2010","3/12/2019","0"
"246","新研股份","300159","4","新疆","7/1/2011","3/12/2019","0"
"247","华中数控","300161","4","湖北","13/1/2011","3/12/2019","0"
"248","智慧松德","300173","4","广东","1/2/2011","3/12/2019","0"
"249","通裕重工","300185","4","山东","8/3/2011","3/12/2019","0"
"250","佳士科技","300193","4","深圳","22/3/2011","3/12/2019","0"
"251","长荣股份","300195","4","天津","29/3/2011","3/12/2019","0"
"252","海伦哲","300201","4","江苏","7/4/2011","3/12/2019","0"
"253","聚龙股份","300202","4","辽宁","15/4/2011","3/12/2019","0"
"254","森远股份","300210","4","辽宁","26/4/2011","3/12/2019","0"
"255","富瑞特装","300228","4","江苏","8/6/2011","3/12/2019","0"
"256","依米康","300249","4","四川","3/8/2011","3/12/2019","0"
"257","开山股份","300257","4","浙江","19/8/2011","3/12/2019","0"
"258","新莱应材","300260","4","江苏","6/9/2011","3/12/2019","0"
"259","隆华节能","300263","4",,"3/12/2019","3/12/2019","0"
"260","兴源环境","300266","4","浙江","27/9/2011","3/12/2019","0"
"261","开能环保","300272","4",,"3/12/2019","3/12/2019","0"
"262","三丰智能","300276","4","湖北","15/11/2011","3/12/2019","0"
"263","华昌达","300278","4","湖北","16/12/2011","3/12/2019","0"
"264","南通锻压","300280","4",,"3/12/2019","3/12/2019","0"
"265","金明精机","300281","4","广东","29/12/2011","3/12/2019","0"
"266","蓝英装备","300293","4","辽宁","8/3/2012","3/12/2019","0"
"267","慈星股份","300307","4","浙江","29/3/2012","3/12/2019","0"
"268","中际旭创","300308","4","山东","10/4/2012","3/12/2019","0"
"269","吉艾科技","300309","4","北京","10/4/2012","3/12/2019","0"
"270","晶盛机电","300316","4","浙江","11/5/2012","3/12/2019","0"
"271","津膜科技","300334","4","天津","5/7/2012","3/12/2019","0"
"272","楚天科技","300358","4","湖南","21/1/2014","3/12/2019","0"
"273","天翔环境","300362","4","四川","21/1/2014","3/12/2019","0"
"274","汇金股份","300368","4","河北","23/1/2014","3/12/2019","0"
"275","斯莱克","300382","4","江苏","29/1/2014","3/12/2019","0"
"276","雪浪环境","300385","4","江苏","26/6/2014","3/12/2019","0"
"277","康跃科技","300391","4","山东","1/8/2014","3/12/2019","0"
"278","劲拓股份","300400","4","深圳","10/10/2014","3/12/2019","0"
"279","宝色股份","300402","4","江苏","10/10/2014","3/12/2019","0"
"280","金盾股份","300411","4","浙江","31/12/2014","3/12/2019","0"
"281","伊之密","300415","4","广东","23/1/2015","3/12/2019","0"
"282","五洋科技","300420","4",,"3/12/2019","3/12/2019","0"
